fpr,tpr,roc_auc_score,accuracy
0.0,0.0,0.5785752048638646,0.56
0.15384615384615385,0.17525773195876287,0.5785752048638646,0.56
0.16666666666666666,0.18556701030927836,0.5785752048638646,0.56
0.23076923076923078,0.25773195876288657,0.5785752048638646,0.56
0.2692307692307692,0.38144329896907214,0.5785752048638646,0.56
0.2948717948717949,0.44329896907216493,0.5785752048638646,0.56
0.41025641025641024,0.4845360824742268,0.5785752048638646,0.56
0.4358974358974359,0.5257731958762887,0.5785752048638646,0.56
0.5769230769230769,0.6494845360824743,0.5785752048638646,0.56
0.5897435897435898,0.7216494845360825,0.5785752048638646,0.56
0.6538461538461539,0.8041237113402062,0.5785752048638646,0.56
0.6666666666666666,0.8041237113402062,0.5785752048638646,0.56
0.717948717948718,0.8762886597938144,0.5785752048638646,0.56
0.8717948717948718,0.9484536082474226,0.5785752048638646,0.56
1.0,1.0,0.5785752048638646,0.56
